"year","Parent.Organization","State.Name","Enrolled.x","Enrolled.y","percent"
2013,"Anthem Inc.","missouri",0,0,0
2013,"Anthem Inc.","montana",0,0,0
2013,"Anthem Inc.","nebraska",0,0,0
2013,"Anthem Inc.","nevada",0,0,0
2013,"Anthem Inc.","new hampshire",0,0,0
2013,"Anthem Inc.","new jersey",0,0,0
2013,"Anthem Inc.","new mexico",0,0,0
2013,"Anthem Inc.","new york",0,0,0
2013,"Anthem Inc.","north carolina",0,0,0
2013,"Anthem Inc.","north dakota",0,0,0
2013,"Anthem Inc.","ohio",0,0,0
2013,"Anthem Inc.","oklahoma",0,0,0
2013,"Anthem Inc.","oregon",0,0,0
2013,"Anthem Inc.","pennsylvania",0,0,0
2013,"Anthem Inc.","rhode island",0,0,0
2013,"Anthem Inc.","south carolina",0,0,0
2013,"Anthem Inc.","south dakota",0,0,0
2013,"Anthem Inc.","tennessee",0,0,0
2013,"Anthem Inc.","texas",0,0,0
2013,"Anthem Inc.","utah",0,0,0
2013,"Anthem Inc.","vermont",0,0,0
2013,"Anthem Inc.","virginia",0,0,0
2013,"Anthem Inc.","washington",0,0,0
2013,"Anthem Inc.","west virginia",0,0,0
2013,"Anthem Inc.","wisconsin",0,0,0
2013,"Anthem Inc.","wyoming",0,0,0
2014,"Anthem Inc.","alabama",0,0,0
2014,"Anthem Inc.","alaska",0,0,0
2014,"Anthem Inc.","arizona",0,0,0
2014,"Anthem Inc.","arkansas",0,0,0
2014,"Anthem Inc.","california",0,0,0
2014,"Anthem Inc.","colorado",0,0,0
2014,"Anthem Inc.","connecticut",0,0,0
2014,"Anthem Inc.","delaware",0,0,0
2014,"Anthem Inc.","district of columbia",0,0,0
2014,"Anthem Inc.","florida",0,0,0
2014,"Anthem Inc.","georgia",0,0,0
2014,"Anthem Inc.","hawaii",0,0,0
2014,"Anthem Inc.","idaho",0,0,0
2014,"Anthem Inc.","illinois",0,0,0
2014,"Anthem Inc.","indiana",0,0,0
2014,"Anthem Inc.","iowa",0,0,0
2014,"Anthem Inc.","kansas",0,0,0
2014,"Anthem Inc.","kentucky",0,0,0
2014,"Anthem Inc.","louisiana",0,0,0
2014,"Anthem Inc.","maine",0,0,0
2014,"Anthem Inc.","maryland",0,0,0
2014,"Anthem Inc.","massachusetts",0,0,0
2014,"Anthem Inc.","michigan",0,0,0
2014,"Anthem Inc.","minnesota",0,0,0
2014,"Anthem Inc.","mississippi",0,0,0
2014,"Anthem Inc.","missouri",0,0,0
2014,"Anthem Inc.","montana",0,0,0
2014,"Anthem Inc.","nebraska",0,0,0
2014,"Anthem Inc.","nevada",0,0,0
2014,"Anthem Inc.","new hampshire",0,0,0
2014,"Anthem Inc.","new jersey",0,0,0
2014,"Anthem Inc.","new mexico",0,0,0
2014,"Anthem Inc.","new york",0,0,0
2014,"Anthem Inc.","north carolina",0,0,0
2014,"Anthem Inc.","north dakota",0,0,0
2014,"Anthem Inc.","ohio",0,0,0
2014,"Anthem Inc.","oklahoma",0,0,0
2014,"Anthem Inc.","oregon",0,0,0
2014,"Anthem Inc.","pennsylvania",0,0,0
2014,"Anthem Inc.","rhode island",0,0,0
2014,"Anthem Inc.","south carolina",0,0,0
2014,"Anthem Inc.","south dakota",0,0,0
2014,"Anthem Inc.","tennessee",0,0,0
2014,"Anthem Inc.","texas",0,0,0
2014,"Anthem Inc.","utah",0,0,0
2014,"Anthem Inc.","vermont",0,0,0
2014,"Anthem Inc.","virginia",0,0,0
2014,"Anthem Inc.","washington",0,0,0
2014,"Anthem Inc.","west virginia",0,0,0
2014,"Anthem Inc.","wisconsin",0,0,0
2014,"Anthem Inc.","wyoming",0,0,0
2015,"Anthem Inc.","alabama",242189,28,0
2015,"Anthem Inc.","alaska",0,0,0
2015,"Anthem Inc.","arizona",430294,16169,3
2015,"Anthem Inc.","arkansas",0,0,0
2015,"Anthem Inc.","california",2284606,85098,3
2015,"Anthem Inc.","colorado",286674,174,0
2015,"Anthem Inc.","connecticut",160500,5524,3
2015,"Anthem Inc.","delaware",0,0,0
2015,"Anthem Inc.","district of columbia",0,0,0
2015,"Anthem Inc.","florida",1599064,25241,1
2015,"Anthem Inc.","georgia",474076,4432,0
2015,"Anthem Inc.","hawaii",0,0,0
2015,"Anthem Inc.","idaho",0,0,0
2015,"Anthem Inc.","illinois",426000,30,0
2015,"Anthem Inc.","indiana",269962,37884,14
2015,"Anthem Inc.","iowa",0,0,0
2015,"Anthem Inc.","kansas",0,0,0
2015,"Anthem Inc.","kentucky",219236,36918,16
2015,"Anthem Inc.","louisiana",0,0,0
2015,"Anthem Inc.","maine",69358,1803,2
2015,"Anthem Inc.","maryland",0,0,0
2015,"Anthem Inc.","massachusetts",253051,24,0
2015,"Anthem Inc.","michigan",632185,28,0
2015,"Anthem Inc.","minnesota",490924,11,0
2015,"Anthem Inc.","mississippi",0,0,0
2015,"Anthem Inc.","missouri",317978,4979,1
2015,"Anthem Inc.","montana",0,0,0
2015,"Anthem Inc.","nebraska",0,0,0
2015,"Anthem Inc.","nevada",148473,6248,4
2015,"Anthem Inc.","new hampshire",17745,2127,11
2015,"Anthem Inc.","new jersey",226455,7346,3
2015,"Anthem Inc.","new mexico",116663,2334,2
2015,"Anthem Inc.","new york",1237319,118138,9
2015,"Anthem Inc.","north carolina",521333,13,0
2015,"Anthem Inc.","north dakota",0,0,0
2015,"Anthem Inc.","ohio",880750,185107,21
2015,"Anthem Inc.","oklahoma",0,0,0
2015,"Anthem Inc.","oregon",328881,11,0
2015,"Anthem Inc.","pennsylvania",1006341,204,0
2015,"Anthem Inc.","rhode island",0,0,0
2015,"Anthem Inc.","south carolina",214991,56,0
